,Learning Community Title,CRN,Subject,Course #,Liberal Learning Attribute,Day,Time,NOTES
3,Analyzing Our World (ILC),8905,LDSP,210,,MW,1800-1915,ILC: Hench (PLP Only)
5,Analyzing Our World (ILC),8776,PHIL,201,AIGM,MWF,1300-1350,ILC: Silverman (prefers PLW)
6,Analyzing Our World (ILC),8813,RSTD,232,AIWT,MWF,0900-0950,ILC: Hutchinson
12,Communicating Effectively (ILC),9186,ENGL,123,LLFW,MWF,1200-1250,ILC: Bunch
15,Discovering the Technological Sciences (ILC),8698,CPSC,150,LLFR,MWF,0900-9050,ILC: Henry (CS Majors)
17,Engineering the Future (ILC),8759,ENGR,121,,TR,1100-1215,ILC: Gerousis (CE Majors Only need MATH 140)
23,Exploring All Things Biological (ILC),8053,BIOL,211,,TR,1100-1215,ILC: BROWN (WIND SCHOLARS ONLY)
26,Fostering Learning in Young Minds (ILC),9182,ENGL,123,LLFW,TR,1500-1615,ILC: Apolloni (NO ATHLETES ILC)
32,Getting to Know the Liberal Arts (ILC),8936,CLST,212,AIWT,MWF,0900-0950,ILC: Pollio
33,HONR: Myth Matters (ILC),8230,HONR,100,HONR,MWF,1400-1450,ILC: Thompson
45,"Leadership, Group, and Self (ILC)",8894,LDSP,210,,TR,1100-1215,ILC: Throupe (PLP only)
46,"Leadership, Group, and Self (ILC)",8895,LDSP,210,,MWF,0900-0950,ILC: Cusher (PLP ONLY)
47,"Leadership, Group, and Self (ILC)",8892,LDSP,210,,MWF,1400-1450,ILC: Callahan (PLP ONLY)
48,"Leadership, Group, and Self (ILC)",8898,LDSP,210,,TR,1330-1445,ILC: Waters (PLP ONLY)
49,Let's Get Down to Business (ILC),8388,MATH,125,LLFM,MWF,0800-0850,ILC: Carpenter
53,Let's Get Down to Business (ILC),8783,PHIL,207,LLFR,TR,1100-1215,ILC: Tweedt
55,"Music To My Ears, All Things Musical, The Sound of Music",9120,MUSC,211,,MWF,1000-1050,ILC: Hamm
60,Pursuing the Liberal Arts and Sciences (ILC),8611,IDST,267,AIGM,TR,1100-1215,ILC: Finley
61,The American Experiment (ILC),8877,AMST,100,AIDE,MWF,1200-1250,ILC: Garmon
63,The American Experiment (ILC),8847,HIST,122,AIWT,TR,1100-1215,ILC: Puaca
64,The American Experiment (ILC),8848,HIST,122,AIWT,TR,0930-1045,ILC: Allison
66,Understanding the Modern World (ILC),8909,LDSP,210,,MW ,1600-1715,ILC: Shollen (PLP only No Athletes)
69,Understanding the Modern World (ILC),9190,ENGL,123,LLFW,TR,1630-1745,ILC: Eleftheriou (NO ATHLETES)